class,precision,recall,F1,accuracy,macroF1
0.0,0.717948717948718,1.0,0.835820895522388,,
1.0,0.8,0.4,0.5333333333333333,,
2.0,0.7692307692307693,0.7142857142857143,0.7407407407407408,,
,,,,0.7419354838709677,0.7032983231988208
